Route,transportation_mode,avg_cost,avg_carbon,on_time_percent,shipment_count
PORT_002 -> PORT_006,Sea,10830.67,2141.27,0.0,1
PORT_002 -> PORT_007,Rail,27247.94,2677.5,100.0,1
PORT_002 -> PORT_009,Rail,29370.1,2046.93,100.0,1
PORT_002 -> PORT_011,Multimodal,37463.93,4292.08,100.0,1
PORT_002 -> PORT_012,Air,40650.79,2473.1,100.0,1
PORT_002 -> PORT_014,Multimodal,37064.64,3138.2,100.0,1
PORT_002 -> PORT_016,Multimodal,42220.8,4470.16,100.0,1
PORT_002 -> PORT_018,Multimodal,34219.83,3125.76,100.0,1
PORT_002 -> PORT_019,Road,11230.08,1739.47,0.0,1
PORT_002 -> PORT_020,Road,47891.23,4745.85,100.0,1
PORT_002 -> PORT_021,Road,8512.33,1175.24,100.0,1
PORT_002 -> PORT_024,Rail,49995.26,3384.59,100.0,1
PORT_002 -> PORT_027,Sea,25082.65,3266.74,100.0,1
PORT_002 -> PORT_028,Air,21598.58,216.22,100.0,1
PORT_002 -> PORT_030,Rail,12115.59,4157.33,100.0,1
PORT_002 -> PORT_033,Multimodal,28130.32,4939.27,100.0,2
PORT_002 -> PORT_033,Rail,3976.95,3624.58,100.0,1
PORT_002 -> PORT_033,Road,32445.15,468.76,50.0,2
PORT_002 -> PORT_039,Sea,22526.03,553.99,100.0,1
PORT_002 -> PORT_040,Rail,44427.18,843.07,100.0,1
PORT_002 -> PORT_041,Air,11933.6,897.01,0.0,2
PORT_002 -> PORT_046,Multimodal,5168.8,4282.31,100.0,1
PORT_002 -> PORT_048,Road,5930.46,1952.9,100.0,1
PORT_002 -> PORT_056,Air,8848.97,1574.39,100.0,1
PORT_002 -> PORT_057,Sea,37598.18,2779.15,100.0,1
PORT_002 -> PORT_058,Rail,22272.78,2203.71,100.0,1
PORT_002 -> PORT_063,Rail,36571.48,3092.48,100.0,1
PORT_002 -> PORT_063,Sea,13652.11,4199.59,0.0,1
PORT_002 -> PORT_065,Multimodal,48117.45,2665.29,100.0,1
PORT_002 -> PORT_065,Road,39370.36,4528.67,100.0,1
PORT_002 -> PORT_071,Road,37360.38,2366.34,100.0,1
PORT_002 -> PORT_072,Rail,28192.1,2565.36,100.0,1
PORT_002 -> PORT_073,Multimodal,5137.04,3165.12,100.0,1
PORT_002 -> PORT_077,Multimodal,23979.12,2801.21,100.0,1
PORT_002 -> PORT_080,Air,12118.51,1573.73,100.0,1
PORT_002 -> PORT_080,Rail,3876.3,1376.45,100.0,1
PORT_002 -> PORT_081,Multimodal,14840.09,4552.11,100.0,1
PORT_002 -> PORT_085,Road,36132.75,1198.17,100.0,1
PORT_002 -> PORT_088,Multimodal,28950.64,1640.68,100.0,2
PORT_002 -> PORT_090,Sea,14877.21,324.48,0.0,1
PORT_002 -> PORT_091,Sea,8394.67,2543.34,100.0,1
PORT_002 -> PORT_094,Multimodal,1738.43,3651.13,100.0,1
PORT_002 -> PORT_094,Rail,23382.11,423.99,100.0,1
PORT_002 -> PORT_095,Air,25010.84,3157.0,100.0,1
PORT_002 -> PORT_095,Road,48361.82,1640.74,100.0,1
PORT_002 -> PORT_096,Air,30557.36,93.07,100.0,1
PORT_002 -> PORT_096,Road,10330.65,3131.91,100.0,1
PORT_002 -> PORT_097,Road,6931.0,1498.61,100.0,1
PORT_002 -> PORT_101,Road,6514.83,3457.24,100.0,1
PORT_002 -> PORT_103,Rail,8910.89,2492.51,100.0,1
PORT_002 -> PORT_104,Multimodal,6954.03,4350.42,100.0,1
PORT_002 -> PORT_107,Rail,49215.87,4742.84,100.0,1
PORT_002 -> PORT_108,Rail,7545.73,3763.84,100.0,1
PORT_002 -> PORT_109,Rail,2019.42,4940.66,100.0,1
PORT_002 -> PORT_111,Road,17817.77,435.99,100.0,1
PORT_002 -> PORT_114,Rail,10327.25,4353.89,100.0,1
PORT_002 -> PORT_114,Road,10986.61,2300.6,100.0,2
PORT_002 -> PORT_114,Sea,29944.33,2723.52,100.0,1
PORT_002 -> PORT_120,Multimodal,1805.78,3683.97,100.0,1
PORT_002 -> PORT_120,Road,15073.63,4454.07,100.0,1
PORT_002 -> PORT_122,Sea,23699.32,3904.95,100.0,1
PORT_002 -> PORT_123,Sea,12652.18,1505.65,100.0,1
PORT_002 -> PORT_124,Rail,21947.84,3946.04,0.0,1
PORT_002 -> PORT_124,Road,5693.94,2447.69,100.0,1
PORT_002 -> PORT_125,Multimodal,2019.66,3626.1,100.0,1
PORT_002 -> PORT_130,Air,29853.33,4827.39,100.0,1
PORT_002 -> PORT_130,Rail,43899.07,4108.51,100.0,1
PORT_002 -> PORT_130,Sea,765.6,494.04,100.0,1
PORT_002 -> PORT_132,Road,35844.34,1736.9,100.0,1
PORT_002 -> PORT_134,Multimodal,21704.88,2940.96,100.0,1
PORT_002 -> PORT_134,Road,30117.24,1408.36,100.0,1
PORT_002 -> PORT_137,Multimodal,29147.27,1008.16,100.0,1
PORT_002 -> PORT_141,Sea,8238.58,4489.93,100.0,1
PORT_002 -> PORT_142,Multimodal,17995.11,2911.56,100.0,1
PORT_002 -> PORT_148,Road,46029.87,2570.87,100.0,1
PORT_002 -> PORT_150,Multimodal,24129.09,4912.96,100.0,1
PORT_002 -> PORT_152,Multimodal,3841.36,2364.66,100.0,1
PORT_002 -> PORT_154,Multimodal,18939.4,149.06,100.0,1
PORT_002 -> PORT_154,Sea,8713.43,3576.9,100.0,1
PORT_002 -> PORT_155,Multimodal,29722.89,2056.44,100.0,1
PORT_002 -> PORT_155,Rail,32366.57,4622.75,0.0,1
PORT_002 -> PORT_158,Multimodal,34482.55,3785.17,100.0,1
PORT_002 -> PORT_159,Multimodal,22428.0,3151.08,0.0,1
PORT_002 -> PORT_159,Rail,27277.84,341.71,100.0,1
PORT_002 -> PORT_163,Multimodal,34669.06,4638.54,100.0,1
PORT_002 -> PORT_163,Rail,15764.07,1838.19,100.0,2
PORT_002 -> PORT_165,Road,45169.6,2838.94,100.0,1
PORT_002 -> PORT_166,Sea,7340.45,1142.72,100.0,1
PORT_002 -> PORT_167,Road,11541.47,4805.52,100.0,1
PORT_002 -> PORT_172,Rail,14420.15,1383.45,0.0,1
PORT_002 -> PORT_172,Road,24247.44,204.8,100.0,1
PORT_002 -> PORT_176,Multimodal,33498.31,3276.38,0.0,1
PORT_002 -> PORT_179,Multimodal,32420.46,107.63,100.0,1
PORT_002 -> PORT_182,Road,41622.12,4560.37,100.0,1
PORT_002 -> PORT_184,Multimodal,35821.81,2679.9,0.0,1
PORT_002 -> PORT_185,Road,34014.16,4010.26,100.0,1
PORT_002 -> PORT_186,Air,2287.92,634.97,100.0,1
PORT_002 -> PORT_186,Sea,4563.73,2261.85,100.0,1
PORT_002 -> PORT_189,Multimodal,47466.7,4831.61,100.0,1
PORT_002 -> PORT_190,Sea,10673.61,2371.22,100.0,1
PORT_002 -> PORT_192,Air,40893.44,2399.21,100.0,1
PORT_002 -> PORT_192,Multimodal,29819.5,976.27,100.0,1
PORT_002 -> PORT_192,Sea,8301.66,1845.61,100.0,1
PORT_002 -> PORT_195,Multimodal,26068.71,415.75,100.0,1
PORT_002 -> PORT_196,Sea,4721.63,4750.76,100.0,1
PORT_002 -> PORT_199,Rail,31268.64,2569.4,100.0,2
PORT_003 -> PORT_001,Air,40222.98,4477.36,100.0,1
PORT_003 -> PORT_002,Air,14436.68,3894.0,0.0,1
PORT_003 -> PORT_002,Road,23013.91,3142.82,100.0,1
PORT_003 -> PORT_006,Road,48814.65,3348.54,100.0,1
PORT_003 -> PORT_006,Sea,37498.57,528.87,100.0,1
PORT_003 -> PORT_010,Sea,19355.71,2216.1,100.0,1
PORT_003 -> PORT_013,Rail,26236.91,3942.91,100.0,1
PORT_003 -> PORT_016,Sea,11642.21,941.76,0.0,1
PORT_003 -> PORT_017,Air,19286.9,2501.51,100.0,1
PORT_003 -> PORT_019,Rail,42224.61,1042.32,100.0,1
PORT_003 -> PORT_022,Rail,40379.47,4935.66,0.0,1
PORT_003 -> PORT_025,Rail,2861.76,3999.94,100.0,1
PORT_003 -> PORT_044,Rail,1187.28,2646.95,100.0,1
PORT_003 -> PORT_044,Road,43314.67,3248.33,100.0,1
PORT_003 -> PORT_048,Air,40055.94,250.32,100.0,1
PORT_003 -> PORT_049,Road,4248.18,2855.59,100.0,1
PORT_003 -> PORT_050,Sea,39021.61,412.85,100.0,1
PORT_003 -> PORT_053,Air,47439.95,2379.46,100.0,1
PORT_003 -> PORT_053,Sea,46661.66,1537.06,100.0,1
PORT_003 -> PORT_054,Multimodal,37922.48,2311.5,100.0,1
PORT_003 -> PORT_054,Sea,20353.14,262.68,0.0,1
PORT_003 -> PORT_056,Road,43717.55,4534.4,0.0,1
PORT_003 -> PORT_058,Road,46141.77,596.53,100.0,1
PORT_003 -> PORT_061,Rail,26855.22,4246.06,0.0,1
PORT_003 -> PORT_062,Air,34176.54,2125.52,100.0,2
PORT_003 -> PORT_063,Sea,10139.27,2270.59,100.0,1
PORT_003 -> PORT_065,Air,40826.03,543.87,0.0,1
PORT_003 -> PORT_067,Sea,37698.93,3736.17,100.0,1
PORT_003 -> PORT_068,Road,21338.56,1907.41,100.0,1
PORT_003 -> PORT_070,Air,36163.26,2453.76,0.0,1
PORT_003 -> PORT_075,Air,2338.45,3197.07,100.0,1
PORT_003 -> PORT_075,Sea,11217.74,3397.82,100.0,1
PORT_003 -> PORT_076,Air,48851.87,1966.13,100.0,1
PORT_003 -> PORT_078,Road,27242.74,4276.29,100.0,1
PORT_003 -> PORT_081,Air,32002.74,4534.67,100.0,1
PORT_003 -> PORT_082,Sea,47722.57,1403.58,100.0,1
PORT_003 -> PORT_084,Road,34108.03,3627.36,100.0,1
PORT_003 -> PORT_085,Rail,13926.13,2716.84,0.0,1
PORT_003 -> PORT_090,Road,20359.81,2933.66,100.0,1
PORT_003 -> PORT_093,Air,35967.52,4626.09,100.0,1
PORT_003 -> PORT_093,Rail,41376.09,475.2,100.0,1
PORT_003 -> PORT_096,Air,20176.42,1299.18,0.0,1
PORT_003 -> PORT_100,Rail,8406.76,3520.22,100.0,1
PORT_003 -> PORT_101,Sea,44369.66,475.69,0.0,1
PORT_003 -> PORT_106,Sea,10653.11,3003.05,100.0,1
PORT_003 -> PORT_108,Air,28926.07,2772.76,100.0,1
PORT_003 -> PORT_109,Air,12779.44,317.46,100.0,1
PORT_003 -> PORT_112,Road,8764.17,2094.13,100.0,2
PORT_003 -> PORT_113,Rail,42353.84,2577.15,100.0,1
PORT_003 -> PORT_113,Road,20949.92,3501.98,100.0,1
PORT_003 -> PORT_113,Sea,48103.87,939.05,100.0,1
PORT_003 -> PORT_115,Air,37447.37,4881.54,100.0,1
PORT_003 -> PORT_120,Rail,46844.71,3241.71,0.0,1
PORT_003 -> PORT_121,Rail,10848.83,3374.75,100.0,1
PORT_003 -> PORT_124,Multimodal,28634.48,502.75,100.0,1
PORT_003 -> PORT_126,Air,10394.69,1702.76,100.0,1
PORT_003 -> PORT_135,Air,44189.75,4325.02,100.0,1
PORT_003 -> PORT_135,Sea,49283.46,1166.19,100.0,1
PORT_003 -> PORT_136,Rail,23198.9,2280.4,100.0,2
PORT_003 -> PORT_136,Sea,39842.96,543.27,100.0,1
PORT_003 -> PORT_138,Sea,46032.34,3294.78,100.0,1
PORT_003 -> PORT_139,Rail,39741.62,1848.8,100.0,1
PORT_003 -> PORT_141,Sea,37352.53,1210.26,100.0,1
PORT_003 -> PORT_143,Sea,15539.73,824.25,100.0,1
PORT_003 -> PORT_145,Rail,24517.36,4033.67,100.0,1
PORT_003 -> PORT_147,Rail,40455.26,3824.08,100.0,1
PORT_003 -> PORT_150,Sea,45371.59,4893.23,100.0,1
PORT_003 -> PORT_151,Multimodal,42713.23,1859.97,100.0,1
PORT_003 -> PORT_153,Rail,37635.83,1596.1,100.0,1
PORT_003 -> PORT_153,Road,46278.31,721.44,100.0,1
PORT_003 -> PORT_153,Sea,10799.63,1223.29,100.0,1
PORT_003 -> PORT_154,Multimodal,36936.67,3465.55,100.0,2
PORT_003 -> PORT_154,Sea,15332.19,4953.53,100.0,1
PORT_003 -> PORT_158,Road,38201.47,331.32,100.0,1
PORT_003 -> PORT_162,Air,737.87,4920.93,100.0,1
PORT_003 -> PORT_174,Sea,39475.21,698.18,100.0,1
PORT_003 -> PORT_176,Multimodal,12907.47,4132.75,100.0,1
PORT_003 -> PORT_180,Multimodal,27140.6,65.53,100.0,1
PORT_003 -> PORT_185,Rail,10702.3,3955.46,100.0,1
PORT_003 -> PORT_187,Sea,3796.01,3817.67,100.0,1
PORT_003 -> PORT_189,Air,17077.55,3271.43,100.0,1
PORT_003 -> PORT_190,Road,19939.46,4715.52,100.0,2
PORT_003 -> PORT_191,Air,33288.2,1539.72,100.0,1
PORT_003 -> PORT_193,Sea,30621.28,1534.63,100.0,1
PORT_003 -> PORT_194,Air,21436.61,1326.95,100.0,1
PORT_003 -> PORT_196,Multimodal,11615.97,2868.03,100.0,1
PORT_003 -> PORT_196,Rail,46681.04,4156.71,100.0,1
PORT_003 -> PORT_197,Road,20783.12,4196.73,0.0,1
PORT_003 -> PORT_198,Rail,2547.73,3649.18,100.0,1
PORT_003 -> PORT_200,Rail,34634.38,4191.49,100.0,1
PORT_004 -> PORT_001,Air,31454.48,923.36,100.0,1
PORT_004 -> PORT_002,Air,18153.68,433.85,100.0,2
PORT_004 -> PORT_006,Rail,1649.28,908.26,100.0,1
PORT_004 -> PORT_009,Air,28012.86,1243.32,100.0,1
PORT_004 -> PORT_009,Road,9890.28,2555.23,100.0,1
PORT_004 -> PORT_010,Sea,39386.94,4406.1,0.0,1
PORT_004 -> PORT_012,Multimodal,31816.66,2782.5,100.0,1
PORT_004 -> PORT_017,Multimodal,49386.68,4610.69,100.0,1
PORT_004 -> PORT_025,Multimodal,33467.07,2935.08,100.0,1
PORT_004 -> PORT_025,Sea,24948.22,1189.7,100.0,1
PORT_004 -> PORT_026,Air,28201.69,3239.15,100.0,1
PORT_004 -> PORT_026,Road,42940.41,4997.88,0.0,1
PORT_004 -> PORT_027,Road,13855.52,618.89,100.0,1
PORT_004 -> PORT_029,Air,25868.15,3815.09,100.0,1
PORT_004 -> PORT_029,Rail,46725.25,3977.9,100.0,1
PORT_004 -> PORT_032,Rail,11672.2,673.38,100.0,1
PORT_004 -> PORT_034,Rail,21781.2,3803.17,100.0,1
PORT_004 -> PORT_040,Sea,7063.35,3432.6,100.0,1
PORT_004 -> PORT_041,Multimodal,37481.43,4034.73,100.0,1
PORT_004 -> PORT_042,Road,28759.74,4797.2,100.0,1
PORT_004 -> PORT_048,Road,8871.14,160.81,100.0,1
PORT_004 -> PORT_055,Multimodal,14837.97,150.09,100.0,1
PORT_004 -> PORT_057,Road,22690.48,4835.31,100.0,1
PORT_004 -> PORT_058,Road,37467.45,3978.38,100.0,1
PORT_004 -> PORT_058,Sea,43141.66,3088.78,100.0,1
PORT_004 -> PORT_059,Multimodal,42773.86,3390.66,100.0,1
PORT_004 -> PORT_062,Air,12598.11,3835.81,0.0,1
PORT_004 -> PORT_064,Road,43086.39,1645.58,0.0,1
PORT_004 -> PORT_065,Multimodal,43729.61,196.75,100.0,1
PORT_004 -> PORT_071,Road,7085.86,1452.29,100.0,1
PORT_004 -> PORT_074,Sea,31823.64,1456.75,100.0,2
PORT_004 -> PORT_076,Air,39819.89,4628.47,100.0,1
PORT_004 -> PORT_082,Multimodal,47793.59,2718.33,100.0,1
PORT_004 -> PORT_083,Air,17278.63,1449.44,100.0,1
PORT_004 -> PORT_083,Sea,23459.41,3287.92,0.0,1
PORT_004 -> PORT_084,Multimodal,33616.13,3903.0,100.0,1
PORT_004 -> PORT_086,Air,30257.76,3184.4,100.0,1
PORT_004 -> PORT_091,Multimodal,42205.09,2543.28,100.0,1
PORT_004 -> PORT_092,Road,34642.36,255.39,100.0,1
PORT_004 -> PORT_098,Rail,23070.75,4623.04,0.0,1
PORT_004 -> PORT_101,Rail,31233.54,604.52,100.0,1
PORT_004 -> PORT_103,Sea,2408.86,2448.36,100.0,1
PORT_004 -> PORT_105,Road,12637.91,4315.43,0.0,1
PORT_004 -> PORT_106,Air,1619.26,4228.64,0.0,1
PORT_004 -> PORT_107,Multimodal,1626.22,3780.57,100.0,1
PORT_004 -> PORT_108,Rail,10224.78,4732.42,100.0,1
PORT_004 -> PORT_111,Road,5870.62,2806.38,100.0,2
PORT_004 -> PORT_114,Multimodal,34120.83,1508.91,100.0,1
PORT_004 -> PORT_114,Rail,10510.23,1831.9,100.0,1
PORT_004 -> PORT_116,Air,6059.06,2321.9,100.0,1
PORT_004 -> PORT_118,Multimodal,14229.48,2370.96,100.0,1
PORT_004 -> PORT_125,Rail,42980.02,3694.29,100.0,1
PORT_004 -> PORT_126,Rail,29230.0,3776.77,100.0,1
PORT_004 -> PORT_128,Air,35067.21,3538.08,0.0,1
PORT_004 -> PORT_129,Air,49996.54,4693.53,100.0,1
PORT_004 -> PORT_129,Rail,9646.02,3816.64,100.0,1
PORT_004 -> PORT_131,Multimodal,6195.28,4657.55,100.0,1
PORT_004 -> PORT_139,Sea,31082.4,4677.78,100.0,1
PORT_004 -> PORT_141,Multimodal,32887.51,461.86,0.0,1
PORT_004 -> PORT_141,Rail,9509.47,2808.0,100.0,1
PORT_004 -> PORT_143,Road,25345.6,2421.04,100.0,1
PORT_004 -> PORT_147,Rail,10397.13,3236.33,100.0,1
PORT_004 -> PORT_149,Air,37255.98,3947.11,100.0,1
PORT_004 -> PORT_153,Rail,24488.59,2726.16,100.0,2
PORT_004 -> PORT_154,Road,15622.05,2049.06,100.0,1
PORT_004 -> PORT_155,Sea,5143.12,1199.23,100.0,1
PORT_004 -> PORT_157,Multimodal,10019.77,4438.69,100.0,1
PORT_004 -> PORT_159,Air,48301.45,1046.97,100.0,1
PORT_004 -> PORT_161,Multimodal,19720.62,3674.54,100.0,1
PORT_004 -> PORT_161,Sea,21091.34,2809.37,100.0,1
PORT_004 -> PORT_162,Road,38188.33,1093.05,0.0,1
PORT_004 -> PORT_163,Sea,13769.58,4270.68,0.0,1
PORT_004 -> PORT_165,Air,10740.92,278.9,100.0,1
PORT_004 -> PORT_165,Road,29027.04,2662.8,0.0,1
PORT_004 -> PORT_169,Multimodal,18151.53,4751.95,100.0,1
PORT_004 -> PORT_170,Air,29720.35,4042.99,100.0,1
PORT_004 -> PORT_170,Rail,35456.18,2167.78,100.0,1
PORT_004 -> PORT_175,Air,36501.69,3303.61,100.0,1
PORT_004 -> PORT_177,Sea,35588.5,775.38,100.0,1
PORT_004 -> PORT_181,Rail,8080.26,3389.03,100.0,1
PORT_004 -> PORT_182,Air,33934.63,2778.67,100.0,1
PORT_004 -> PORT_182,Multimodal,4052.89,193.74,100.0,1
PORT_004 -> PORT_184,Rail,27686.79,1800.94,100.0,1
PORT_004 -> PORT_188,Air,24454.36,947.5,100.0,3
PORT_004 -> PORT_189,Sea,22240.28,2823.66,100.0,1
PORT_004 -> PORT_191,Air,23418.65,2976.59,100.0,1
PORT_004 -> PORT_198,Road,19610.6,2082.46,100.0,1
PORT_004 -> PORT_200,Rail,44940.61,1944.91,100.0,1
PORT_005 -> PORT_005,Multimodal,49214.3,1870.06,100.0,1
PORT_005 -> PORT_005,Rail,14851.08,437.58,100.0,1
PORT_005 -> PORT_008,Air,9618.0,3881.91,0.0,1
PORT_005 -> PORT_008,Road,43799.34,1761.32,100.0,1
PORT_005 -> PORT_008,Sea,25184.58,4168.76,100.0,1
PORT_005 -> PORT_009,Rail,33385.79,3349.37,50.0,2
PORT_005 -> PORT_009,Sea,43003.81,1695.01,100.0,1
PORT_005 -> PORT_011,Air,46591.72,551.76,100.0,1
PORT_005 -> PORT_011,Rail,23523.45,3517.82,100.0,2
PORT_005 -> PORT_012,Sea,41016.22,1371.62,100.0,1
PORT_005 -> PORT_015,Air,10184.54,2531.11,100.0,1
PORT_005 -> PORT_015,Rail,13653.69,4264.06,100.0,1
PORT_005 -> PORT_016,Sea,3758.31,2819.92,100.0,1
PORT_005 -> PORT_019,Road,34081.17,1139.85,100.0,1
PORT_005 -> PORT_020,Air,24062.98,2274.37,100.0,1
PORT_005 -> PORT_021,Multimodal,7969.26,2630.21,0.0,1
PORT_005 -> PORT_022,Air,13142.98,3719.51,100.0,1
PORT_005 -> PORT_023,Rail,15571.62,1854.9,0.0,1
PORT_005 -> PORT_024,Multimodal,13603.05,75.98,0.0,1
PORT_005 -> PORT_032,Road,44728.65,4777.17,100.0,1
PORT_005 -> PORT_035,Road,2397.25,387.66,100.0,1
PORT_005 -> PORT_039,Multimodal,26174.82,2272.94,0.0,1
PORT_005 -> PORT_040,Road,15633.22,4427.74,100.0,1
PORT_005 -> PORT_044,Multimodal,28021.38,225.46,100.0,1
PORT_005 -> PORT_045,Sea,36561.56,1371.6,100.0,1
PORT_005 -> PORT_048,Air,44390.67,1704.59,100.0,1
PORT_005 -> PORT_048,Road,24297.39,999.96,100.0,1
PORT_005 -> PORT_048,Sea,20422.88,3587.39,100.0,2
PORT_005 -> PORT_049,Road,49059.94,2097.92,100.0,1
PORT_005 -> PORT_051,Road,26026.21,367.64,100.0,1
PORT_005 -> PORT_054,Sea,24927.98,4302.48,100.0,1
PORT_005 -> PORT_055,Road,27232.55,701.66,100.0,1
