supplier_id,supplier_name,region,country,supplier_type,risk_level,financial_health_score,delivery_performance,quality_rating,contract_value_usd,sustainability_score,lead_time_days,capacity_utilization,years_in_partnership,compliance_violations,political_risk_index,financial_health_normalized,delivery_performance_normalized,political_risk_normalized,compliance_violations_normalized,supplier_risk_score
SUP_00018,Dynamic Industries,Africa,Saudi Arabia,Raw Material,Medium,90.9332757900046,81.30024697159598,4.213439159564464,30457478.34022117,89.10934047905667,130.20973146051813,87.28905506823963,23,0,5.996412039474883,0.07351011720682121,0.7373797735006655,0.5997736856233231,0.0,0.3705727160575928
SUP_00019,Advanced Enterprises,Europe,Germany,Service Provider,Low,48.89320043006928,76.25633228235151,4.253567634103689,20618512.272914443,67.698486387388,146.56227876311348,98.65739240337278,14,2,8.558813094629404,0.8390101568460661,0.9478241033463104,0.8561239010934812,0.25,0.8161760739610158
SUP_00020,Advanced Technologies,Latin America,USA,Service Provider,Critical,93.12077758450828,80.54350345267353,4.276006470432496,23716731.326258928,65.95470058370867,84.1933877051276,74.52005799930245,12,1,4.087259282762648,0.033678297304820304,0.768952944840033,0.4087763709897968,0.125,0.3384124765718974
SUP_00021,Dynamic Partners,Middle East,South Africa,Manufacturer,Low,51.3186907344182,94.24593486806704,4.257442774051164,20755315.428039547,85.04962180971356,93.6469177792481,62.48896690608968,19,4,9.321368173075284,0.794844847715979,0.19725433887088029,0.932412176995583,0.5,0.6135966761467724
SUP_00022,Strategic Solutions,North America,Sweden,Component,Medium,80.78613596567563,95.43574035951713,4.107456462796723,42116193.201566085,82.90476421682239,10.714631053985457,95.9045603336954,18,1,9.029785291295529,0.25827752952101124,0.14761277379270732,0.9032413590936436,0.125,0.3407431157649454
SUP_00023,Superior Supply Co,Latin America,India,Manufacturer,Medium,70.06724956935214,86.59358988463927,4.972828036965778,11538522.604792573,91.20843787541632,17.13034573998045,61.51798920959483,15,1,2.081338974188094,0.45345577054514463,0.5165286944064928,0.2080981429330868,0.125,0.39046054512662315
SUP_00024,Advanced Enterprises,Europe,UAE,Service Provider,Low,88.64633001782175,84.98569608980847,4.464581134851392,335760.530521133,64.21979580773628,50.07435198866546,98.11063588613332,1,2,2.5896483290020376,0.11515269430189379,0.5836139155022573,0.2589509211779013,0.25,0.297935436607015
SUP_00025,Advanced Supply Co,Africa,Netherlands,Distributor,Low,70.4696290526722,98.46848864404276,4.553892776785043,32583428.86645065,97.41176741862468,100.1822236248008,86.5831771203616,3,1,1.8044199864596888,0.44612891616169426,0.02107917446588603,0.18039434456430492,0.125,0.23335418771730454
SUP_00026,Strategic Partners,Middle East,Poland,Service Provider,High,69.40075705359698,79.81355183011368,4.744925630167348,10162986.072759628,99.69174647466708,134.42145102862378,97.66756833767796,15,3,1.960543514547023,0.4655918108081948,0.7994082934122271,0.1960134062192479,0.375,0.5027618935907956
SUP_00027,Dynamic Partners,Latin America,Poland,Component,Critical,50.750190020262,80.1686227885106,3.431279525451698,44511251.058674976,29.32356879989061,110.8755357341558,67.98638746595913,4,5,9.07862087173498,0.805196573194479,0.7845938735635274,0.9081270156707357,0.625,0.8015821944809969
SUP_00028,Elite Industries,North America,Japan,Service Provider,Low,49.14261491284123,82.00481224887359,3.167608318190122,42959364.16884747,87.96350076432977,73.62237462268794,61.6279918101523,15,1,9.311379091926227,0.8344686141677081,0.7079836047023766,0.931412839635899,0.125,0.744965095004976
SUP_00029,Global Group,North America,Japan,Component,Medium,90.40690331135328,79.1461756387461,3.965788873197197,3882532.227813884,59.98578061988712,25.70671277554918,79.52839913105967,10,2,0.5189724118513095,0.08309473735373463,0.8272528435285826,0.05179434962456711,0.25,0.31677261792498207
SUP_00030,Strategic Industries,Asia-Pacific,Sweden,Component,High,58.03110093675187,84.10477435690048,4.028161391238546,5364100.850433163,51.00530706398657,141.63531610525814,78.02493658280501,6,3,5.936033556722048,0.6726197985939643,0.6203681025077588,0.5937332428002471,0.375,0.6114049987499628
SUP_00031,Elite Industries,Asia-Pacific,Germany,Component,High,60.46452402295928,96.8600214477541,4.658363559899835,24783821.032720983,69.0457847906172,68.662559029835,73.25969093019532,13,3,5.642315628575716,0.6283100428905745,0.08818831925841542,0.5643488285157235,0.375,0.42815027863689914
SUP_00032,Innovative Systems,Europe,Argentina,Component,Medium,81.79030121356136,89.76834817508578,3.887567158564672,30480672.005329262,24.47724458096056,133.80945253448817,98.3062589755479,7,3,3.905476467244599,0.23999286826672972,0.3840700938913848,0.39059027797633844,0.375,0.326836231069375
SUP_00033,Superior Technologies,Latin America,Mexico,Component,Medium,58.6352915332544,84.88671716669432,4.141706051088626,13781671.457237924,60.51688950136639,94.77129733500982,92.90334928645728,22,2,6.31697592823107,0.6616182025784364,0.587743555757279,0.631843849577281,0.25,0.5923391176740145
SUP_00034,Premier Technologies,Latin America,South Korea,Distributor,Medium,92.36343456514516,97.42585906970916,4.054141877026916,35854045.94913356,89.67124560213334,134.26585937331942,86.46328085502373,1,0,9.4736782551085,0.04746861776403344,0.06458020403638232,0.9476497301760073,0.0,0.22789145435172953
SUP_00035,Dynamic Group,Africa,China,Manufacturer,High,80.58602729493401,76.16314157941973,3.076405567514782,29766055.244897638,37.0769212911175,163.7756732542001,66.51433166551311,22,2,1.7025488272214615,0.26192127169019985,0.9517122450446904,0.17020285109438846,0.25,0.4493227524083648
SUP_00036,Strategic Industries,Africa,Netherlands,Raw Material,High,72.8586083415381,80.04662826964467,4.230429793193828,16274964.281940307,54.11119158155401,166.18016530941534,89.37293632874099,11,3,1.2041090971645565,0.4026284294316679,0.7896837801835437,0.12033745943684802,0.375,0.4595239977150999
SUP_00037,Alpha Corp,Africa,South Korea,Manufacturer,Low,88.44923382996139,88.58132652244221,4.656086571548505,1317305.827713664,95.15847101719004,98.6436865001056,89.08049818798895,14,2,0.3339057082897567,0.1187415827215289,0.4335955104761493,0.03327972669349941,0.25,0.20923123157015622
SUP_00038,Prime Group,Asia-Pacific,China,Component,Medium,42.72832495922155,89.7732629566363,3.315001096151608,37520006.55086096,54.28510702445578,94.51396383398678,77.0027269446403,6,0,3.6383330784014345,0.9512652462316196,0.3838650373086585,0.3638644595672277,0.0,0.5684385015986909
SUP_00039,Premier Manufacturing,Latin America,China,Distributor,High,54.13844807040648,75.94938015750272,4.188663467853192,10776945.60796288,48.669410586591866,51.49373146299652,96.99143638856054,5,3,3.3762847707786605,0.7435004023506602,0.9606308889856954,0.3376483682229172,0.375,0.690619101280556
SUP_00040,Innovative Systems,Latin America,Netherlands,Service Provider,High,65.57699838215005,84.67293018977117,4.187221088892828,41731963.485958286,55.24293184987026,168.76497051762598,66.67911528916042,19,4,4.308196881586439,0.5352179327764032,0.596663265914998,0.430879624869593,0.5,0.5292620778589793
SUP_00041,Prime Group,North America,Norway,Distributor,Critical,52.483819670933656,90.57969515594095,3.3283699281127177,21043498.489710048,61.55622132140451,85.13585425993365,70.69350249646658,19,1,5.033100308809489,0.7736292281089454,0.3502187339501779,0.5034011177053345,0.125,0.5276975349696984
SUP_00042,Dynamic Solutions,Asia-Pacific,Netherlands,Component,High,80.91478530161837,91.75369311368163,3.246927147461472,28875018.259456683,70.55930753051751,27.328466875291,62.52897357002534,13,4,7.578239940304546,0.25593497730338155,0.30123669744117,0.758024449062046,0.5,0.3943498899661128
SUP_00043,Elite Solutions,Middle East,Japan,Distributor,Medium,90.55644170795487,90.31535766039046,4.96010388595297,43653789.08392964,84.05542407333849,80.72336005964624,91.8180383271035,7,0,3.921133904575184,0.08037182005289634,0.36124753410471255,0.39215669453136276,0.0,0.21895432715884489
SUP_00044,Dynamic Enterprises,Asia-Pacific,Italy,Distributor,Medium,63.30735659620079,82.69351738466219,3.787438339306075,43187968.89595167,56.16817646114514,27.234318791650693,84.87037544381589,8,3,3.306131093612336,0.5765454247524718,0.6792491593971581,0.3306299859047259,0.375,0.5380189149010813
SUP_00045,Strategic Industries,Middle East,France,Component,Medium,58.81729300615422,77.24448296634984,3.4548434574470583,18607402.783416484,85.39847480721123,92.94304474498814,72.59761222724998,14,3,8.26878820259627,0.6583041710614524,0.9065960649490763,0.8271089491152008,0.375,0.7382222777323441
SUP_00046,Elite Partners,North America,South Africa,Distributor,Low,92.88529026756616,85.25069871406401,3.34264908890875,10484000.191106414,62.69765290816645,103.22321509983712,66.55254654377262,19,3,8.497966706536564,0.03796624276900762,0.5725573645681754,0.8500366476298583,0.375,0.3944610360040274
SUP_00047,Dynamic Group,Europe,Vietnam,Raw Material,Medium,64.46688380551475,78.09010649683333,4.33520342716647,38768546.582543306,47.078440829438215,64.10725826137744,61.60591080114961,19,3,2.327659642933532,0.5554318059710331,0.8713146043895277,0.2327407945510392,0.375,0.5676152626154793
SUP_00048,Superior Enterprises,Latin America,Spain,Raw Material,High,66.89766202471057,97.742967804496,4.218890594654558,21682356.169926453,72.63606624955314,17.538857490509816,66.66982274503746,23,2,3.146718227113084,0.5111702101670937,0.05134966004587538,0.31468184906112223,0.25,0.30780935189282455
SUP_00049,Superior Corp,North America,Canada,Distributor,Low,59.3407429788048,86.40410078454308,4.2871042459748345,9642497.578272251,77.41778037947931,170.11311873581684,78.13138585350633,12,1,8.251163709100883,0.6487727662915396,0.5244346383289447,0.8253457424165437,0.125,0.5944086464986079
SUP_00050,Strategic Corp,Latin America,Poland,Service Provider,High,90.02516601566761,82.61422018456483,3.1760120550229045,45226045.84874165,64.643918050359,140.3367948596002,69.88707876042425,23,3,0.7940824429776483,0.09004572191970539,0.6825576305274703,0.07931717459974884,0.375,0.294149012846073
SUP_00051,Elite Supply Co,Africa,Singapore,Component,Medium,71.2925515805018,93.3912977068536,4.787069166996874,9945304.502342315,24.529197850777877,151.8041890883962,70.35928709727867,9,1,3.258467803907379,0.4311444704327049,0.23291186992235913,0.3258616087760545,0.125,0.32000367090500065
SUP_00052,Prime Systems,Europe,Sweden,Raw Material,Critical,81.91960229499045,86.95076622197433,3.778532793618097,1339068.0511519923,33.590630012865994,69.20196900009014,95.02305466670856,14,3,4.483501070408612,0.237638448534797,0.5016264330523348,0.4484175768178197,0.375,0.3727268246931832
SUP_00053,Alpha Enterprises,Europe,South Korea,Service Provider,Low,84.64936950929875,82.4408165762988,3.626738812860716,1062984.689682627,42.82381767121826,138.14543025340384,80.60550693844402,6,3,1.8707161520057105,0.18793261682854945,0.6897924487951497,0.18702680995780013,0.375,0.35701614336152476
SUP_00054,Alpha Enterprises,North America,Sweden,Distributor,Low,58.8016973054492,94.48722581737924,3.924722894495479,31134652.054890502,42.610048476119445,89.94025665460899,89.17007892513658,15,3,1.7991419661069818,0.6585881503218528,0.18718709641055398,0.1798663157251228,0.375,0.3930646521969319
SUP_00055,Dynamic Group,Europe,France,Service Provider,Medium,63.8531882226209,95.81165162402692,3.780132131495257,33100669.28284064,73.87366401974964,40.18961047105804,61.42843796112573,13,2,4.248620580135287,0.5666064765445161,0.13192884592813003,0.42491943464753706,0.25,0.3762051313257529
SUP_00056,Premier Supply Co,Middle East,Thailand,Manufacturer,Low,86.66594759234457,91.15219599092823,4.727154006278292,15586533.167596348,21.467892933890607,26.77409095876232,74.60653422712114,7,3,7.545217247348557,0.1512131155124704,0.32633261335185004,0.7547207607351762,0.375,0.3468291823575784
SUP_00057,Superior Industries,Europe,USA,Raw Material,High,59.97904434216956,76.12714613778401,4.858521950395784,16034548.912890816,80.45454216396159,65.38390213135995,79.16677389581767,11,1,8.402329795476275,0.6371500535638844,0.9532140619982323,0.8404688468720932,0.125,0.7214180093994421
SUP_00058,Global Industries,Latin America,Netherlands,Distributor,High,83.66643233985182,88.59174912399678,3.606906432899213,17007721.05724414,41.227397984554656,29.07161950814945,67.45667420840739,10,2,9.792350925361731,0.20583073988690137,0.4331606543109414,0.9795306910113674,0.25,0.43318663045031647
SUP_00059,Premier Corp,Latin America,Argentina,Component,Low,91.75457774159403,93.31907788793475,4.727871614919909,34023919.41060599,44.80174769728819,179.697070835712,64.80766165782154,1,1,0.7398405009171904,0.05855518025405193,0.23592505557880195,0.0738906495416409,0.125,0.12147771868358953
SUP_00060,Innovative Partners,Latin America,Japan,Distributor,Medium,74.27657051874039,78.27607229000597,4.563046259066134,2953782.861790088,62.23278623551394,13.60807329060386,94.8121511399937,7,4,2.166822011459927,0.3768090156089764,0.8635556613602411,0.21665011998585793,0.5,0.5031203286488345
SUP_00061,Advanced Enterprises,Latin America,China,Component,Medium,80.78950080985389,80.48809803323049,4.861615344689524,46459361.81693172,37.2740480751166,82.2001298895884,97.57726508399186,18,3,7.566298423841977,0.25821625968907613,0.771264593050375,0.7568297842721365,0.375,0.5235318386451703
SUP_00062,Innovative Partners,Middle East,Australia,Distributor,Medium,84.28035216226242,96.17988252163528,3.491500624371776,11164926.15666345,90.7577050860422,84.11636641831723,63.152267921816296,23,4,5.405987060556619,0.19465198617709,0.11656536156133557,0.5407058163449391,0.5,0.2709715662082245
SUP_00063,Superior Supply Co,Asia-Pacific,Singapore,Service Provider,High,86.47718068931533,75.48292132447378,4.153918300241958,49983676.60184251,26.829502346125224,57.61058750179322,73.96074850169772,3,4,3.276797739624182,0.15465033750872703,0.9800926805831383,0.3276953900106916,0.5,0.47142701718057056
SUP_00064,Strategic Supply Co,Africa,Singapore,Service Provider,High,61.72793358212378,93.06545130782342,3.5490891694808893,8617558.55466999,55.55058898408519,104.98652399871544,98.33142512577896,9,4,2.055896612472435,0.605304849409339,0.2465069704149876,0.2055528134676782,0.5,0.40718459358176756
SUP_00065,Global Industries,North America,Thailand,Service Provider,Medium,42.8194902546799,86.37055902034615,4.648188980968748,38588745.54275326,87.95378155639119,31.24597922652032,63.3264693252986,5,4,2.8047755164244803,0.9496052340482543,0.5258340819205096,0.28047288423606387,0.5,0.6436868950426674
SUP_00066,Prime Systems,Latin America,Canada,Manufacturer,High,62.10319491802068,85.72253181215056,3.0106483811421283,11209456.61923477,69.26751155369885,142.1846666027659,85.74565491514905,23,1,4.292889503009519,0.5984717844101762,0.5528713456238914,0.42934822923244903,0.125,0.5036197632977277
SUP_00067,Dynamic Industries,Europe,Saudi Arabia,Component,Medium,77.05659263812494,75.1703167798773,4.129638325772792,4088297.742080536,43.38636126741068,63.178350693336704,98.88885483868025,24,0,1.7715121950603274,0.32618810153195354,0.9931352988563202,0.17710215133057844,0.0,0.4638362605357932
SUP_00068,Strategic Enterprises,Latin America,Norway,Service Provider,High,64.76927121794361,94.66555754319585,3.678406862543836,43752919.55131491,53.660816622116855,108.4849532147623,99.128946743255,13,0,9.642259558767506,0.5499256889096614,0.17974666514994642,0.9645151047161455,0.0,0.46679729605207765
SUP_00069,Premier Manufacturing,Europe,Saudi Arabia,Manufacturer,Medium,81.19297329732191,83.6357976152776,3.6453674141556407,42944625.39658505,76.53555042740118,130.2368663117179,78.84893323614973,16,4,1.0758844459987438,0.25086950299309596,0.639934947346446,0.10750948432779166,0.5,0.3638301822667305
SUP_00070,Global Systems,Africa,Italy,Component,High,59.63403362077651,87.97837515121303,4.289812647729834,20208341.102857582,97.86085946911194,160.5823705957782,66.50996431129522,16,3,9.855774344892192,0.643432290658874,0.4587521011533089,0.9858757583573949,0.375,0.6296736982810213
SUP_00071,Prime Corp,Africa,South Korea,Distributor,High,74.91092776072162,91.25521647205582,4.702968898627988,35134687.31989432,91.45109747035468,151.26280137913503,68.08337259909756,12,0,8.418932860006725,0.3652581206658895,0.3220343495137441,0.8421298667820266,0.0,0.41113952647688434
SUP_00072,Prime Industries,Africa,Thailand,Manufacturer,Low,50.2530892669686,91.86310983450996,4.218390782786653,27875443.33756166,47.39462467059014,111.45407991812291,95.58405580497578,18,1,4.231516175137391,0.8142481898505578,0.296671567000379,0.4232082591475585,0.125,0.5118423978698485
SUP_00073,Strategic Supply Co,Europe,Norway,Raw Material,High,81.21531901547263,97.94352141182574,4.706345957293445,42655157.87800375,99.8558303430286,72.96880656718021,96.46732017318944,11,2,7.398163343882102,0.25046261390016056,0.042982078099528476,0.7400090512767674,0.25,0.28608147924527627
SUP_00074,Alpha Group,Latin America,Spain,Manufacturer,Low,70.01327828471642,87.75215887767862,3.52919422376206,15787045.66746679,20.28037308248466,93.0608172631187,84.31518575494219,17,1,6.71515243696386,0.4544385237912866,0.46819039165129084,0.6716786106516558,0.125,0.46906824914223305
SUP_00075,Premier Technologies,Africa,Sweden,Manufacturer,Medium,51.22354137006303,84.59326922338626,4.039003709529962,26207436.37994931,22.210380464673207,139.52858884129046,90.64705597879646,7,1,2.132869179489309,0.7965774050808724,0.5999869142553389,0.21325337778815182,0.125,0.553777711866581
SUP_00076,Premier Supply Co,Middle East,UAE,Component,Medium,56.0551145423794,97.888887035801,3.901073078134152,24294349.941667296,85.9072412136955,158.57046994790778,89.59725005881633,15,6,3.390700861189464,0.7086001732785508,0.04526155651211505,0.33909059674355135,0.75,0.43983665561376517
SUP_00077,Prime Solutions,Europe,Netherlands,Distributor,Critical,81.17347897200078,90.4106456406125,3.0232897990061924,17727596.021530095,35.957014946644165,23.161837430917576,86.47286391956428,6,1,5.131225628054579,0.251224471595752,0.35727188892123385,0.5132178662119573,0.125,0.32281492855706245
SUP_00078,Alpha Technologies,Europe,Argentina,Raw Material,High,66.54306796138364,82.15560855063734,4.11362428628148,44578180.47459079,24.86154147169927,72.34984593628437,93.09107819487755,6,2,6.378441798877269,0.5176269485817754,0.701692017983921,0.637993077916271,0.25,0.5701570004111407
SUP_00079,Superior Solutions,Latin America,Sweden,Service Provider,High,51.88172922161897,78.0351418896857,4.32304864829235,8335602.336893647,38.971845858920176,140.8204047223626,87.41626492161285,18,0,5.428949813566215,0.7845925829286193,0.8736078608438995,0.5430030783874895,0.0,0.6845200071021155
SUP_00080,Advanced Technologies,Europe,India,Service Provider,High,93.19991547036636,95.22130803516436,4.18382880883814,7517956.544058773,54.08801231846881,80.53905845394317,81.36009222989998,19,1,4.729874610064738,0.032237290022063214,0.15655940940728064,0.4730655177987778,0.125,0.16697584239076504
SUP_00081,Strategic Group,Europe,South Africa,Manufacturer,Medium,79.33187608992884,83.69235846705963,4.472559797566843,28866631.28937143,78.44530163467239,63.13985871159967,69.47825450352627,20,1,4.431522734549001,0.28475788149466286,0.6375750917021481,0.4432175096501187,0.125,0.40631918203853334
SUP_00082,Global Group,Africa,Japan,Component,High,92.64241578968878,90.85127331274634,4.142679056906154,32891836.787747853,69.94684212409643,76.98147194407218,89.75552576474476,19,2,4.98264499295018,0.04238869969494552,0.33888783588175997,0.49835341798396177,0.25,0.24329251423929857
SUP_00083,Alpha Industries,Latin America,UK,Component,Medium,63.49077749481887,86.29959406478156,3.1335005097015136,9771231.75351203,39.00969740483363,110.4978306876114,78.93751471353099,2,1,4.343515198459703,0.5732055471723135,0.5287949116403623,0.43441297423435843,0.125,0.4873032872079058
SUP_00084,Advanced Manufacturing,Africa,Sweden,Service Provider,Medium,66.13051873804463,79.77431471508092,3.232891048169422,19566336.240618475,60.26163584804675,179.96590022341528,71.79166736030038,3,0,5.413300775457159,0.5251389819003484,0.8010453608265022,0.5414375021155444,0.0,0.5586567014311989
SUP_00085,Advanced Supply Co,Africa,UAE,Raw Material,Low,89.38753689017605,89.44047860689116,4.192949155087905,47330863.95678825,94.0971284318855,91.27367509329306,92.07785102967102,14,1,8.879852990466668,0.10165619399093517,0.3977496058987202,0.8882416862102365,0.125,0.35013569660803745
SUP_00086,Premier Corp,Latin America,UK,Distributor,High,68.87771371349615,76.45639365481638,3.5499583839472804,12368540.263399163,85.20062215870061,41.4865331169956,87.86854401412114,22,3,6.3282931305461165,0.4751158112804158,0.9394770586300014,0.6329760561247868,0.375,0.6359846533261241
SUP_00087,Superior Supply Co,North America,Japan,Raw Material,High,78.90034015481169,84.9202190369086,3.1592902580695315,33434617.070763838,45.85518278654347,33.49815067384158,97.493582524988,4,1,7.2262087498854015,0.29261564037377175,0.5863457766392353,0.7228062027478592,0.125,0.4500112296908511
SUP_00088,Premier Systems,Africa,Germany,Distributor,Medium,53.86950826225415,88.11875855192811,3.8592054868970935,37020462.21519466,98.5811649084557,12.4112058083725,66.6176656007551,22,1,5.974831337307766,0.7483974781060805,0.4528949658714745,0.5976146880536768,0.125,0.5672504186146099
SUP_00089,Prime Partners,Middle East,Argentina,Service Provider,Low,64.56995577864524,85.46512737884589,4.108645196167311,22434028.53828472,76.68963203481047,102.79301611070626,85.96757138545973,17,3,6.430176824140022,0.5535549872726474,0.5636108816397583,0.6431688035688898,0.375,0.5566390201147644
SUP_00090,Innovative Group,Middle East,France,Distributor,High,46.78974261956953,92.96813220602378,3.657491976699213,46879423.03864117,24.995948453342542,100.300116010546,69.76957872352705,6,3,5.7834982844818015,0.8773116352219011,0.25056735890710025,0.5784731609223818,0.375,0.5792894939453669
SUP_00091,Prime Group,Europe,Thailand,Component,Low,51.32890197323289,94.87019890908748,4.440867404451556,36846003.924178585,22.81285706309109,40.9159371865541,96.14331941206568,19,1,0.2686652219582319,0.7946589131368783,0.17120853202180397,0.026752874585465228,0.125,0.3870766997783856
SUP_00092,Strategic Enterprises,Middle East,China,Manufacturer,High,40.05188783971971,93.50983377679628,4.28754121620249,22923332.764051847,33.4726359208024,126.68264612919924,63.97997657026463,9,0,9.995983822000198,1.0,0.22796625816274396,0.9999027310653923,0.0,0.6683704236619017
SUP_00093,Dynamic Manufacturing,Europe,Thailand,Manufacturer,Critical,42.15957784067631,75.93151074748324,3.665636722183344,28488293.32871589,78.22846944401175,134.69373228519413,86.24647225779509,4,4,0.3360924021289668,0.9616214584425521,0.961376444025376,0.03349849004271095,0.5,0.7297612145931759
SUP_00094,Prime Manufacturing,North America,UAE,Service Provider,Medium,93.75061027473112,79.65909049070333,4.509745057817121,34646041.49908378,34.699114067394234,50.34218594186947,91.6434288611212,7,2,3.951480082336537,0.022209789096789057,0.8058527943726785,0.3951926163251701,0.25,0.35467827721555323
SUP_00095,Advanced Group,Latin America,Vietnam,Component,Low,53.32945323252193,87.87858022233058,4.297390085066071,29629899.51243945,60.91894153670668,65.21745870520388,74.19671361458829,4,1,1.0511567829893342,0.7582312413219613,0.46291578714416115,0.10503565544461031,0.125,0.4756743637609549
SUP_00096,Elite Industries,Latin America,UK,Raw Material,High,76.48208902272012,97.43572897065124,4.274890757435804,43940944.31211249,27.46080961446654,178.33254266076992,98.16552317535238,11,3,0.9692845044093246,0.3366491327408653,0.06416840787856382,0.09684490942036914,0.375,0.21077915734398908
SUP_00097,Dynamic Solutions,Latin America,Sweden,Component,High,86.15048343397864,95.0389626012508,4.106855401574136,17876588.68090604,93.6708926264156,70.49628187387849,94.0292273834415,22,1,7.935269516744836,0.16059910805133681,0.16416730228504406,0.7937427487659807,0.125,0.28473838365924414
