supplier_id,supplier_name,region,country,supplier_type,risk_level,financial_health_score,delivery_performance,quality_rating,contract_value_usd,sustainability_score,lead_time_days,capacity_utilization,years_in_partnership,compliance_violations,political_risk_index
SUP_00016,Dynamic Systems,Latin America,Poland,Distributor,Low,46.77861019729033,75.9068281582963,4.561043605514044,39503911.96361816,23.117789117473848,18.459361778683565,77.96351828674308,3,5,8.51377205286058
SUP_00017,Premier Group,Africa,Singapore,Raw Material,Medium,56.922349921287164,90.44087340167425,4.510874545031163,32829182.667755514,87.82322162902994,40.89140690163174,74.23321514670644,7,1,2.354399797260802
SUP_00018,Dynamic Industries,Africa,Saudi Arabia,Raw Material,Medium,90.9332757900046,81.30024697159598,4.213439159564464,30457478.34022117,89.10934047905667,130.20973146051813,87.28905506823963,23,0,5.996412039474883
SUP_00019,Advanced Enterprises,Europe,Germany,Service Provider,Low,48.89320043006928,76.25633228235151,4.253567634103689,20618512.272914443,67.698486387388,146.56227876311348,98.65739240337278,14,2,8.558813094629404
SUP_00020,Advanced Technologies,Latin America,USA,Service Provider,Critical,93.12077758450829,80.54350345267353,4.276006470432496,23716731.326258928,65.95470058370867,84.1933877051276,74.52005799930245,12,1,4.0872592827626475
SUP_00021,Dynamic Partners,Middle East,South Africa,Manufacturer,Low,51.3186907344182,94.24593486806704,4.257442774051164,20755315.428039547,85.04962180971356,93.6469177792481,62.48896690608968,19,4,9.321368173075285
SUP_00022,Strategic Solutions,North America,Sweden,Component,Medium,80.78613596567563,95.43574035951713,4.107456462796723,42116193.201566085,82.90476421682239,10.714631053985457,95.9045603336954,18,1,9.029785291295529
SUP_00023,Superior Supply Co,Latin America,India,Manufacturer,Medium,70.06724956935214,86.59358988463927,4.972828036965778,11538522.604792573,91.20843787541632,17.13034573998045,61.51798920959483,15,1,2.081338974188094
SUP_00024,Advanced Enterprises,Europe,UAE,Service Provider,Low,88.64633001782175,84.98569608980847,4.464581134851392,335760.530521133,64.21979580773628,50.07435198866546,98.11063588613332,1,2,2.5896483290020376
SUP_00025,Advanced Supply Co,Africa,Netherlands,Distributor,Low,70.4696290526722,98.46848864404276,4.553892776785043,32583428.866450652,97.41176741862469,100.18222362480081,86.5831771203616,3,1,1.8044199864596888
SUP_00026,Strategic Partners,Middle East,Poland,Service Provider,High,69.40075705359698,79.81355183011368,4.744925630167348,10162986.072759628,99.69174647466707,134.42145102862378,97.66756833767796,15,3,1.960543514547023
SUP_00027,Dynamic Partners,Latin America,Poland,Component,Critical,50.750190020261996,80.1686227885106,3.431279525451698,44511251.058674976,29.32356879989061,110.87553573415579,67.98638746595913,4,5,9.07862087173498
SUP_00028,Elite Industries,North America,Japan,Service Provider,Low,49.14261491284123,82.00481224887359,3.167608318190122,42959364.16884747,87.96350076432977,73.62237462268794,61.6279918101523,15,1,9.311379091926229
SUP_00029,Global Group,North America,Japan,Component,Medium,90.40690331135329,79.1461756387461,3.965788873197197,3882532.227813884,59.98578061988712,25.70671277554918,79.52839913105967,10,2,0.5189724118513095
SUP_00030,Strategic Industries,Asia-Pacific,Sweden,Component,High,58.03110093675187,84.10477435690048,4.028161391238546,5364100.850433163,51.00530706398657,141.63531610525814,78.02493658280501,6,3,5.936033556722048
SUP_00031,Elite Industries,Asia-Pacific,Germany,Component,High,60.464524022959274,96.8600214477541,4.658363559899835,24783821.032720983,69.0457847906172,68.662559029835,73.25969093019532,13,3,5.642315628575716
SUP_00032,Innovative Systems,Europe,Argentina,Component,Medium,81.79030121356136,89.76834817508578,3.8875671585646714,30480672.005329266,24.477244580960562,133.80945253448817,98.3062589755479,7,3,3.9054764672445987
SUP_00033,Superior Technologies,Latin America,Mexico,Component,Medium,58.6352915332544,84.88671716669432,4.141706051088626,13781671.457237925,60.51688950136639,94.77129733500982,92.90334928645728,22,2,6.31697592823107
SUP_00034,Premier Technologies,Latin America,South Korea,Distributor,Medium,92.36343456514516,97.42585906970916,4.054141877026916,35854045.94913356,89.67124560213334,134.26585937331942,86.46328085502373,1,0,9.473678255108501
SUP_00035,Dynamic Group,Africa,China,Manufacturer,High,80.58602729493401,76.16314157941973,3.076405567514782,29766055.244897634,37.0769212911175,163.7756732542001,66.51433166551311,22,2,1.7025488272214617
SUP_00036,Strategic Industries,Africa,Netherlands,Raw Material,High,72.8586083415381,80.04662826964467,4.230429793193828,16274964.281940307,54.11119158155401,166.18016530941534,89.37293632874099,11,3,1.2041090971645563
SUP_00037,Alpha Corp,Africa,South Korea,Manufacturer,Low,88.44923382996139,88.58132652244221,4.656086571548505,1317305.827713664,95.15847101719004,98.6436865001056,89.08049818798895,14,2,0.33390570828975674
SUP_00038,Prime Group,Asia-Pacific,China,Component,Medium,42.72832495922155,89.7732629566363,3.3150010961516077,37520006.55086096,54.28510702445578,94.51396383398678,77.0027269446403,6,0,3.6383330784014345
SUP_00039,Premier Manufacturing,Latin America,China,Distributor,High,54.13844807040648,75.94938015750272,4.188663467853192,10776945.60796288,48.669410586591866,51.49373146299652,96.99143638856054,5,3,3.3762847707786605
SUP_00040,Innovative Systems,Latin America,Netherlands,Service Provider,High,65.57699838215005,84.67293018977117,4.187221088892828,41731963.485958286,55.24293184987026,168.76497051762598,66.67911528916042,19,4,4.308196881586439
SUP_00041,Prime Group,North America,Norway,Distributor,Critical,52.483819670933656,90.57969515594095,3.3283699281127177,21043498.489710048,61.55622132140451,85.13585425993365,70.69350249646658,19,1,5.033100308809489
SUP_00042,Dynamic Solutions,Asia-Pacific,Netherlands,Component,High,80.91478530161837,91.75369311368163,3.246927147461472,28875018.259456683,70.55930753051751,27.328466875291,62.52897357002534,13,4,7.578239940304546
SUP_00043,Elite Solutions,Middle East,Japan,Distributor,Medium,90.55644170795489,90.31535766039046,4.96010388595297,43653789.08392964,84.05542407333849,80.72336005964624,91.8180383271035,7,0,3.921133904575184
SUP_00044,Dynamic Enterprises,Asia-Pacific,Italy,Distributor,Medium,63.30735659620079,82.69351738466219,3.787438339306075,43187968.89595167,56.16817646114514,27.234318791650693,84.87037544381589,8,3,3.3061310936123354
SUP_00045,Strategic Industries,Middle East,France,Component,Medium,58.81729300615422,77.24448296634984,3.4548434574470583,18607402.783416484,85.39847480721123,92.94304474498814,72.59761222724998,14,3,8.26878820259627
SUP_00046,Elite Partners,North America,South Africa,Distributor,Low,92.88529026756615,85.25069871406401,3.34264908890875,10484000.191106414,62.69765290816645,103.22321509983713,66.55254654377262,19,3,8.497966706536564
SUP_00047,Dynamic Group,Europe,Vietnam,Raw Material,Medium,64.46688380551475,78.09010649683333,4.33520342716647,38768546.582543306,47.078440829438215,64.10725826137744,61.60591080114961,19,3,2.327659642933532
SUP_00048,Superior Enterprises,Latin America,Spain,Raw Material,High,66.89766202471057,97.742967804496,4.218890594654558,21682356.169926453,72.63606624955314,17.538857490509816,66.66982274503746,23,2,3.1467182271130834
SUP_00049,Superior Corp,North America,Canada,Distributor,Low,59.3407429788048,86.40410078454308,4.2871042459748345,9642497.578272253,77.41778037947931,170.11311873581684,78.13138585350633,12,1,8.251163709100883
SUP_00050,Strategic Corp,Latin America,Poland,Service Provider,High,90.02516601566761,82.61422018456483,3.1760120550229045,45226045.84874165,64.643918050359,140.3367948596002,69.88707876042425,23,3,0.7940824429776483
SUP_00051,Elite Supply Co,Africa,Singapore,Component,Medium,71.2925515805018,93.3912977068536,4.787069166996874,9945304.502342315,24.529197850777873,151.80418908839619,70.35928709727867,9,1,3.258467803907379
SUP_00052,Prime Systems,Europe,Sweden,Raw Material,Critical,81.91960229499045,86.95076622197433,3.778532793618097,1339068.0511519923,33.590630012865994,69.20196900009014,95.02305466670857,14,3,4.483501070408612
SUP_00053,Alpha Enterprises,Europe,South Korea,Service Provider,Low,84.64936950929875,82.4408165762988,3.626738812860716,1062984.6896826273,42.82381767121826,138.14543025340384,80.60550693844402,6,3,1.8707161520057103
SUP_00054,Alpha Enterprises,North America,Sweden,Distributor,Low,58.801697305449196,94.48722581737924,3.9247228944954786,31134652.054890502,42.610048476119445,89.94025665460899,89.17007892513658,15,3,1.7991419661069818
SUP_00055,Dynamic Group,Europe,France,Service Provider,Medium,63.8531882226209,95.81165162402692,3.7801321314952565,33100669.28284064,73.87366401974964,40.18961047105804,61.428437961125724,13,2,4.248620580135287
SUP_00056,Premier Supply Co,Middle East,Thailand,Manufacturer,Low,86.66594759234457,91.15219599092825,4.727154006278292,15586533.167596348,21.467892933890607,26.774090958762322,74.60653422712114,7,3,7.545217247348557
SUP_00057,Superior Industries,Europe,USA,Raw Material,High,59.97904434216956,76.12714613778401,4.858521950395784,16034548.912890816,80.45454216396159,65.38390213135995,79.16677389581767,11,1,8.402329795476275
SUP_00058,Global Industries,Latin America,Netherlands,Distributor,High,83.66643233985182,88.59174912399678,3.6069064328992124,17007721.05724414,41.227397984554656,29.071619508149446,67.45667420840739,10,2,9.792350925361733
SUP_00059,Premier Corp,Latin America,Argentina,Component,Low,91.75457774159403,93.31907788793475,4.727871614919909,34023919.41060599,44.80174769728819,179.697070835712,64.80766165782154,1,1,0.7398405009171904
SUP_00060,Innovative Partners,Latin America,Japan,Distributor,Medium,74.27657051874039,78.27607229000597,4.563046259066134,2953782.861790088,62.23278623551394,13.60807329060386,94.8121511399937,7,4,2.166822011459927
SUP_00061,Advanced Enterprises,Latin America,China,Component,Medium,80.78950080985389,80.48809803323049,4.861615344689524,46459361.81693172,37.2740480751166,82.2001298895884,97.57726508399186,18,3,7.566298423841977
SUP_00062,Innovative Partners,Middle East,Australia,Distributor,Medium,84.28035216226242,96.17988252163528,3.491500624371776,11164926.15666345,90.75770508604221,84.11636641831723,63.152267921816296,23,4,5.405987060556619
SUP_00063,Superior Supply Co,Asia-Pacific,Singapore,Service Provider,High,86.47718068931533,75.48292132447378,4.153918300241958,49983676.60184251,26.829502346125224,57.61058750179322,73.96074850169772,3,4,3.276797739624182
SUP_00064,Strategic Supply Co,Africa,Singapore,Service Provider,High,61.72793358212378,93.06545130782342,3.5490891694808893,8617558.55466999,55.55058898408519,104.98652399871544,98.33142512577895,9,4,2.055896612472435
SUP_00065,Global Industries,North America,Thailand,Service Provider,Medium,42.8194902546799,86.37055902034615,4.648188980968748,38588745.54275326,87.95378155639119,31.24597922652032,63.326469325298596,5,4,2.8047755164244803
SUP_00066,Prime Systems,Latin America,Canada,Manufacturer,High,62.10319491802068,85.72253181215056,3.0106483811421283,11209456.61923477,69.26751155369885,142.1846666027659,85.74565491514905,23,1,4.292889503009519
SUP_00067,Dynamic Industries,Europe,Saudi Arabia,Component,Medium,77.05659263812494,75.1703167798773,4.129638325772792,4088297.742080536,43.38636126741068,63.178350693336704,98.88885483868023,24,0,1.7715121950603274
SUP_00068,Strategic Enterprises,Latin America,Norway,Service Provider,High,64.76927121794361,94.66555754319583,3.678406862543836,43752919.55131491,53.660816622116855,108.4849532147623,99.12894674325499,13,0,9.642259558767506
SUP_00069,Premier Manufacturing,Europe,Saudi Arabia,Manufacturer,Medium,81.19297329732191,83.6357976152776,3.6453674141556407,42944625.39658505,76.53555042740118,130.2368663117179,78.84893323614973,16,4,1.0758844459987438
SUP_00070,Global Systems,Africa,Italy,Component,High,59.63403362077651,87.97837515121303,4.289812647729834,20208341.102857586,97.86085946911194,160.5823705957782,66.50996431129522,16,3,9.855774344892192
SUP_00071,Prime Corp,Africa,South Korea,Distributor,High,74.91092776072162,91.25521647205582,4.702968898627988,35134687.31989432,91.45109747035468,151.26280137913503,68.08337259909756,12,0,8.418932860006725
SUP_00072,Prime Industries,Africa,Thailand,Manufacturer,Low,50.2530892669686,91.86310983450997,4.218390782786653,27875443.33756166,47.39462467059014,111.45407991812293,95.58405580497578,18,1,4.231516175137391
SUP_00073,Strategic Supply Co,Europe,Norway,Raw Material,High,81.21531901547263,97.94352141182574,4.706345957293445,42655157.87800375,99.8558303430286,72.96880656718021,96.46732017318944,11,2,7.398163343882102
SUP_00074,Alpha Group,Latin America,Spain,Manufacturer,Low,70.01327828471642,87.75215887767862,3.52919422376206,15787045.66746679,20.28037308248466,93.0608172631187,84.31518575494219,17,1,6.71515243696386
SUP_00075,Premier Technologies,Africa,Sweden,Manufacturer,Medium,51.22354137006303,84.59326922338626,4.039003709529962,26207436.37994931,22.210380464673207,139.52858884129046,90.64705597879646,7,1,2.1328691794893095
SUP_00076,Premier Supply Co,Middle East,UAE,Component,Medium,56.0551145423794,97.88888703580099,3.901073078134152,24294349.941667296,85.9072412136955,158.57046994790778,89.59725005881633,15,6,3.390700861189464
SUP_00077,Prime Solutions,Europe,Netherlands,Distributor,Critical,81.17347897200078,90.4106456406125,3.0232897990061924,17727596.021530095,35.957014946644165,23.161837430917576,86.47286391956428,6,1,5.131225628054579
SUP_00078,Alpha Technologies,Europe,Argentina,Raw Material,High,66.54306796138364,82.15560855063734,4.11362428628148,44578180.47459079,24.86154147169927,72.34984593628437,93.09107819487755,6,2,6.378441798877269
SUP_00079,Superior Solutions,Latin America,Sweden,Service Provider,High,51.88172922161897,78.0351418896857,4.32304864829235,8335602.336893647,38.971845858920176,140.8204047223626,87.41626492161285,18,0,5.428949813566215
SUP_00080,Advanced Technologies,Europe,India,Service Provider,High,93.19991547036636,95.22130803516436,4.18382880883814,7517956.544058773,54.08801231846881,80.53905845394317,81.36009222989998,19,1,4.729874610064738
SUP_00081,Strategic Group,Europe,South Africa,Manufacturer,Medium,79.33187608992884,83.69235846705963,4.472559797566843,28866631.28937143,78.44530163467239,63.13985871159967,69.47825450352627,20,1,4.431522734549001
SUP_00082,Global Group,Africa,Japan,Component,High,92.64241578968878,90.85127331274634,4.142679056906154,32891836.787747853,69.94684212409643,76.98147194407218,89.75552576474476,19,2,4.9826449929501795
SUP_00083,Alpha Industries,Latin America,UK,Component,Medium,63.49077749481887,86.29959406478156,3.1335005097015136,9771231.75351203,39.00969740483363,110.4978306876114,78.93751471353099,2,1,4.343515198459703
SUP_00084,Advanced Manufacturing,Africa,Sweden,Service Provider,Medium,66.13051873804463,79.77431471508092,3.2328910481694226,19566336.240618475,60.26163584804675,179.96590022341528,71.79166736030038,3,0,5.413300775457159
SUP_00085,Advanced Supply Co,Africa,UAE,Raw Material,Low,89.38753689017605,89.44047860689116,4.192949155087905,47330863.95678825,94.0971284318855,91.27367509329306,92.07785102967102,14,1,8.879852990466668
SUP_00086,Premier Corp,Latin America,UK,Distributor,High,68.87771371349615,76.45639365481638,3.5499583839472804,12368540.263399165,85.20062215870061,41.486533116995595,87.86854401412114,22,3,6.3282931305461165
SUP_00087,Superior Supply Co,North America,Japan,Raw Material,High,78.90034015481169,84.9202190369086,3.1592902580695315,33434617.070763834,45.85518278654347,33.49815067384158,97.493582524988,4,1,7.2262087498854015
SUP_00088,Premier Systems,Africa,Germany,Distributor,Medium,53.86950826225415,88.11875855192811,3.8592054868970935,37020462.21519466,98.5811649084557,12.4112058083725,66.6176656007551,22,1,5.974831337307766
SUP_00089,Prime Partners,Middle East,Argentina,Service Provider,Low,64.56995577864524,85.46512737884589,4.108645196167311,22434028.53828472,76.68963203481047,102.79301611070626,85.96757138545973,17,3,6.430176824140022
SUP_00090,Innovative Group,Middle East,France,Distributor,High,46.78974261956953,92.96813220602378,3.6574919766992133,46879423.03864117,24.995948453342542,100.30011601054599,69.76957872352705,6,3,5.7834982844818015
SUP_00091,Prime Group,Europe,Thailand,Component,Low,51.32890197323289,94.87019890908749,4.440867404451556,36846003.924178585,22.812857063091094,40.9159371865541,96.14331941206567,19,1,0.26866522195823195
SUP_00092,Strategic Enterprises,Middle East,China,Manufacturer,High,40.05188783971971,93.50983377679627,4.28754121620249,22923332.764051847,33.4726359208024,126.68264612919923,63.979976570264625,9,0,9.995983822000198
SUP_00093,Dynamic Manufacturing,Europe,Thailand,Manufacturer,Critical,42.15957784067631,75.93151074748324,3.665636722183344,28488293.328715894,78.22846944401175,134.69373228519413,86.24647225779509,4,4,0.33609240212896685
SUP_00094,Prime Manufacturing,North America,UAE,Service Provider,Medium,93.75061027473112,79.65909049070333,4.509745057817121,34646041.49908378,34.699114067394234,50.34218594186947,91.6434288611212,7,2,3.951480082336537
SUP_00095,Advanced Group,Latin America,Vietnam,Component,Low,53.32945323252193,87.87858022233058,4.297390085066071,29629899.512439452,60.91894153670668,65.21745870520388,74.19671361458829,4,1,1.0511567829893342
SUP_00096,Elite Industries,Latin America,UK,Raw Material,High,76.48208902272012,97.43572897065123,4.274890757435804,43940944.31211249,27.46080961446654,178.33254266076992,98.16552317535238,11,3,0.9692845044093246
SUP_00097,Dynamic Solutions,Latin America,Sweden,Component,High,86.15048343397864,95.0389626012508,4.106855401574136,17876588.68090604,93.67089262641561,70.49628187387849,94.0292273834415,22,1,7.935269516744836
SUP_00098,Alpha Supply Co,Middle East,South Korea,Manufacturer,Medium,70.28632525801103,95.22082820044324,3.0227793361771056,15029292.715787455,47.516849086685404,138.14029255731782,71.78473198739613,23,1,4.25925779358077
SUP_00099,Elite Partners,North America,Netherlands,Manufacturer,Critical,48.42294750461759,82.27699665023219,4.3930143669537784,10731252.530288452,92.65056452485047,84.2269496602395,60.30164370863994,2,4,8.01138708298765
SUP_00100,Elite Solutions,Middle East,Mexico,Component,Low,80.04640405348914,85.30674952988886,3.752083582218313,1937259.254826527,95.59005135284355,143.83534487567078,71.86628704472244,10,4,2.7278647068083153
SUP_00101,Advanced Solutions,Middle East,Spain,Component,Medium,73.01382755547706,86.29694273558249,4.885219420317311,2198547.520783764,20.490291785094463,139.57906678696338,71.2524188188297,6,1,2.5646279180623477
SUP_00102,Elite Industries,North America,India,Manufacturer,High,80.21878241410563,78.77691800039786,4.6359695421544105,43509256.895808674,57.13081497589856,121.85730440974373,95.59858430003635,8,2,2.512313818144621
SUP_00103,Global Technologies,North America,Spain,Raw Material,High,82.3360642571398,75.74563512586695,4.175388939062625,33935737.66297507,21.97248445655143,154.58621060172638,98.6848471301899,15,4,6.161456264079193
SUP_00104,Advanced Supply Co,North America,Thailand,Service Provider,Low,93.64757022266099,97.72566958705241,3.504363963638539,33043594.151052482,92.69542130423247,169.3632366035949,62.81759943881041,13,2,8.149993898456
SUP_00105,Elite Systems,North America,Japan,Service Provider,High,71.54598040146905,80.77710205592416,3.407434786555333,30751408.80579756,61.47260357876607,106.49708107911468,78.85179314133268,22,2,4.522610100752406
SUP_00106,Superior Group,Latin America,Australia,Component,Medium,58.7902611979831,80.75877368936715,3.6807696753550982,42468496.27747054,25.995521015879746,46.5570587639805,81.93327994119183,2,1,3.7924889064108234
SUP_00107,Prime Corp,Asia-Pacific,South Korea,Service Provider,Medium,75.66555062951304,77.00109729045023,3.953135887160037,24039332.93699809,28.82213826212535,74.76006828771312,63.71646645318813,20,2,9.735795542016493
SUP_00108,Alpha Partners,Asia-Pacific,India,Manufacturer,Low,43.76423900834444,97.28418604665069,3.592131020077894,43527020.886487104,50.680721959419124,137.7034998648263,75.09990836550091,1,1,1.167540360116388
SUP_00109,Superior Group,North America,China,Manufacturer,High,89.35685250768725,88.91369075855452,4.029858990784966,18004279.057802845,95.21873542983116,118.90460989667716,72.68329669571803,15,3,4.866326820448926
SUP_00110,Superior Enterprises,Asia-Pacific,Saudi Arabia,Component,Low,46.56595562360082,91.0088845710085,3.3307408510263716,46339039.841737576,75.43273212544648,36.11470924891853,81.44225417308348,7,4,4.084877531814344
SUP_00111,Elite Industries,Asia-Pacific,Japan,Component,Medium,58.03135608372,96.87784529431326,4.955425625650999,34947916.155057944,89.40950929513059,13.966919700624324,86.44763598927753,24,3,0.9812659658689038
SUP_00112,Advanced Enterprises,North America,Brazil,Component,Low,84.86599593443665,83.29488405361894,3.2158491099299877,12895997.944420142,49.31653170719837,124.51827886986135,88.13940441986267,18,1,2.682003620882192
SUP_00113,Dynamic Enterprises,Asia-Pacific,Germany,Raw Material,High,72.85218080818916,89.91617546731402,4.863888279308744,28226041.838346824,23.457095963999866,48.938829205135434,65.4702009445355,10,0,0.2844121257911203
SUP_00114,Innovative Manufacturing,Middle East,Argentina,Service Provider,Medium,61.649953615259314,75.93118691349329,4.82715602280539,26674876.546338364,97.94541097635313,92.44229265258436,92.51790807778485,15,1,8.76954288982957
SUP_00115,Global Industries,Europe,Canada,Component,High,66.03896126562617,79.4825406775471,4.050720963638996,6938046.145430181,21.373839252989562,135.68068518970398,87.14168119163035,5,4,6.078495289904011
SUP_00116,Global Enterprises,Europe,Netherlands,Distributor,Low,87.00010662611992,94.94989932215861,4.4498205436721685,29582583.142243177,95.81213224648712,103.4666866148583,95.56299666986878,24,1,8.150184978702507
SUP_00117,Dynamic Industries,North America,Saudi Arabia,Distributor,Medium,58.700241233294065,93.40244055212005,3.872096595945176,15773541.90466205,49.494193907931574,19.57795204456437,77.97344237741737,11,2,5.215544524029898
SUP_00118,Elite Group,Latin America,Saudi Arabia,Manufacturer,Medium,87.83073266466943,83.41542459497153,4.260069155084876,2664820.9021396413,20.80723240175052,37.476541437122194,95.75559050888766,8,0,5.995098294218943
SUP_00119,Elite Supply Co,North America,Poland,Service Provider,High,44.84739370371803,84.0434550665811,3.6811518748422376,47435375.077442914,75.13257853796065,43.38243220541085,94.63096489424302,21,5,7.0085447780916486
SUP_00120,Superior Corp,Latin America,Mexico,Component,High,82.72391404647469,87.8053064052859,3.602318039570891,32092443.934761174,98.44322432250833,50.126244387847855,77.53637329437078,8,2,9.08011627464215
SUP_00121,Innovative Corp,Europe,Argentina,Distributor,Low,86.6151198180105,75.00578411244322,4.156459572339028,43852100.64694881,97.2500578270074,103.94559359133825,75.24573261171915,6,1,0.9175188782584576
SUP_00122,Strategic Manufacturing,North America,Italy,Service Provider,Medium,49.99997090605363,80.78986406491266,3.9962593483679605,33818997.450412,32.87496089619347,93.19401146944386,97.31248059881027,15,3,3.3094839473572693
SUP_00123,Elite Industries,Africa,South Africa,Manufacturer,Low,63.669059280471025,79.99756340659715,4.159072738299962,17881335.42239864,34.4998244852924,40.553006713736565,88.6065893815375,15,4,7.090261907000005
SUP_00124,Superior Supply Co,Middle East,Germany,Raw Material,Medium,49.10248760650106,81.01159072199432,3.5733211625740458,25658769.21282413,65.24311316957281,16.822097604745238,97.12981385752303,5,1,9.583505630013928
SUP_00125,Advanced Solutions,Asia-Pacific,Sweden,Service Provider,Low,78.86322709468197,94.34174022080259,3.7339156636339905,33803550.679341495,70.98438611426596,35.000635783075666,91.87899115583252,13,1,9.808074284900055
SUP_00126,Prime Solutions,Latin America,Singapore,Service Provider,Medium,69.44412724339112,81.71217255711464,3.1677959212578184,48014603.64381181,79.15343309326926,177.26672970825558,84.37189757165658,14,4,6.381030091372624
SUP_00127,Advanced Group,Africa,South Africa,Raw Material,Medium,74.94278406895765,79.59651172920356,3.1045527445444114,12720789.48312874,34.4840288377718,86.99571621350765,64.63411108015057,11,4,1.9359847775486727
SUP_00128,Premier Enterprises,Asia-Pacific,Japan,Service Provider,Medium,50.806783182591616,87.10232305903276,3.5069142593460327,43755104.078274675,96.72056694115476,156.78546332286967,71.65922690316394,20,1,1.1920891141395673
SUP_00129,Superior Manufacturing,Asia-Pacific,Australia,Manufacturer,Medium,51.64602241288307,95.77548087294556,3.1484937186610917,46207686.374448754,71.09914050313904,153.53168166704756,98.75369628393565,21,2,9.460436442804255
SUP_00130,Elite Enterprises,North America,Canada,Manufacturer,High,42.28235290304485,80.7923928921,3.2075494172694814,33537254.95721488,87.76375350964439,94.51592255600289,72.77688394856818,12,3,4.339276894625074
SUP_00131,Global Corp,Asia-Pacific,France,Raw Material,Medium,57.713714435765134,76.88486982702717,4.625856810787874,46566768.038696826,63.20525722273374,128.67034898059512,63.73019479141483,20,2,1.9481603326268482
SUP_00132,Innovative Solutions,Middle East,France,Component,Low,70.78595637335212,83.55371366039195,3.077747394033379,19924035.444494557,53.14214780719061,38.73160182222465,88.30213423677279,1,3,9.33892515777601
SUP_00133,Innovative Systems,Africa,Italy,Distributor,High,87.18642026985307,92.94364378955947,4.317885587869485,47653157.99322011,98.17463252759967,125.46942336220896,89.36017018174738,3,2,1.0452427156431188
SUP_00134,Superior Systems,Asia-Pacific,South Korea,Component,Low,76.68100961022745,88.21657307267508,3.545115497630801,35154004.71444044,66.56970966558688,52.667301371075666,71.41830881148603,8,8,7.295710968570751
SUP_00135,Innovative Supply Co,North America,Australia,Service Provider,Medium,63.94679778698632,94.60304086978434,4.743091361416253,2148188.0825696546,89.34988662393431,150.61086693197637,71.90687917385215,23,2,6.252630275433342
